business_name,tiktok_like_range_month_m,tiktok_view_range_month_m,tiktok_comment_range_month_m,tiktok_like_range_month_m_1,tiktok_comment_range_month_m_1,tiktok_view_range_month_m_1
Cafe Luna,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Cafe Luna,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(2.5, 61.25]","(2.0, 197.0]","(1633.0, 408000.0]"
Cafe Luna,"(2.5, 61.25]","(1633.0, 408000.0]","(2.0, 197.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Cafe Luna,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Cafe Luna,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(2.5, 61.25]","(-0.001, 2.0]","(1633.0, 408000.0]"
Moona,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(2.5, 61.25]","(2.0, 197.0]","(256.625, 1633.0]"
Moona,"(2.5, 61.25]","(256.625, 1633.0]","(2.0, 197.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Moona,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Moona,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Moona,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
4 Corners Pizza,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
4 Corners Pizza,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
4 Corners Pizza,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
4 Corners Pizza,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
4 Corners Pizza,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Hunters,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Hunters,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(61.25, 31200.0]","(-0.001, 2.0]","(1633.0, 408000.0]"
Hunters,"(61.25, 31200.0]","(1633.0, 408000.0]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Hunters,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Hunters,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Ruka Resto Bar,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Ruka Resto Bar,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Ruka Resto Bar,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Ruka Resto Bar,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(61.25, 31200.0]","(-0.001, 2.0]","(1633.0, 408000.0]"
Ruka Resto Bar,"(61.25, 31200.0]","(1633.0, 408000.0]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Committee,"(61.25, 31200.0]","(256.625, 1633.0]","(2.0, 197.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Committee,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Committee,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Committee,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Committee,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Zuma,"(61.25, 31200.0]","(256.625, 1633.0]","(-0.001, 2.0]","(61.25, 31200.0]","(-0.001, 2.0]","(1633.0, 408000.0]"
Zuma,"(61.25, 31200.0]","(1633.0, 408000.0]","(-0.001, 2.0]","(2.5, 61.25]","(2.0, 197.0]","(1633.0, 408000.0]"
Zuma,"(2.5, 61.25]","(1633.0, 408000.0]","(2.0, 197.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Zuma,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Zuma,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(61.25, 31200.0]","(-0.001, 2.0]","(1633.0, 408000.0]"
Orleans Bar & Restaurant,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Orleans Bar & Restaurant,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Orleans Bar & Restaurant,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Orleans Bar & Restaurant,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Orleans Bar & Restaurant,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Nagomi Kenmore,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Nagomi Kenmore,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Nagomi Kenmore,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Nagomi Kenmore,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Nagomi Kenmore,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
The Lexington,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
The Lexington,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
The Lexington,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
The Lexington,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(61.25, 31200.0]","(-0.001, 2.0]","(1633.0, 408000.0]"
The Lexington,"(61.25, 31200.0]","(1633.0, 408000.0]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Bistro du Midi Boston,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(256.625, 1633.0]"
Bistro du Midi Boston,"(61.25, 31200.0]","(256.625, 1633.0]","(2.0, 197.0]","(-0.001, 2.5]","(-0.001, 2.0]","(256.625, 1633.0]"
Bistro du Midi Boston,"(-0.001, 2.5]","(256.625, 1633.0]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Bistro du Midi Boston,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Bistro du Midi Boston,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
LoLa 42,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
LoLa 42,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
LoLa 42,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
LoLa 42,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(2.5, 61.25]","(2.0, 197.0]","(256.625, 1633.0]"
LoLa 42,"(2.5, 61.25]","(256.625, 1633.0]","(2.0, 197.0]","(2.5, 61.25]","(2.0, 197.0]","(256.625, 1633.0]"
No. 9 Park,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
No. 9 Park,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
No. 9 Park,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
No. 9 Park,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
No. 9 Park,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Stella Cheeses,"(61.25, 31200.0]","(256.625, 1633.0]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Stella Cheeses,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(61.25, 31200.0]","(-0.001, 2.0]","(1633.0, 408000.0]"
Stella Cheeses,"(61.25, 31200.0]","(1633.0, 408000.0]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Stella Cheeses,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(61.25, 31200.0]","(-0.001, 2.0]","(1633.0, 408000.0]"
Stella Cheeses,"(61.25, 31200.0]","(1633.0, 408000.0]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Bar Vlaha,"(61.25, 31200.0]","(1633.0, 408000.0]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Bar Vlaha,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Bar Vlaha,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Bar Vlaha,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Bar Vlaha,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Levain Bakery,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Levain Bakery,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(61.25, 31200.0]","(-0.001, 2.0]","(1633.0, 408000.0]"
Levain Bakery,"(61.25, 31200.0]","(1633.0, 408000.0]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Levain Bakery,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Levain Bakery,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(61.25, 31200.0]","(-0.001, 2.0]","(1633.0, 408000.0]"
Hood Dairy,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Hood Dairy,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Hood Dairy,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Hood Dairy,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Hood Dairy,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Crazy Good Kitchen,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Crazy Good Kitchen,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Crazy Good Kitchen,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Crazy Good Kitchen,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(2.5, 61.25]","(2.0, 197.0]","(256.625, 1633.0]"
Crazy Good Kitchen,"(2.5, 61.25]","(256.625, 1633.0]","(2.0, 197.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Grill 23 & Bar,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Grill 23 & Bar,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Grill 23 & Bar,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Grill 23 & Bar,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Grill 23 & Bar,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(61.25, 31200.0]","(-0.001, 2.0]","(1633.0, 408000.0]"
Smith & Wollensky,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Smith & Wollensky,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Smith & Wollensky,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Smith & Wollensky,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Smith & Wollensky,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
LoLa Burger,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
LoLa Burger,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
LoLa Burger,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
LoLa Burger,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
LoLa Burger,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Woods Hill Pier 4,"(61.25, 31200.0]","(1633.0, 408000.0]","(-0.001, 2.0]","(61.25, 31200.0]","(-0.001, 2.0]","(1633.0, 408000.0]"
Woods Hill Pier 4,"(61.25, 31200.0]","(1633.0, 408000.0]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Woods Hill Pier 4,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Woods Hill Pier 4,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Woods Hill Pier 4,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(2.5, 61.25]","(-0.001, 2.0]","(1633.0, 408000.0]"
Petit Robert Bistro,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Petit Robert Bistro,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Petit Robert Bistro,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Petit Robert Bistro,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Petit Robert Bistro,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
The Dial,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
The Dial,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
The Dial,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(256.625, 1633.0]"
The Dial,"(-0.001, 2.5]","(256.625, 1633.0]","(-0.001, 2.0]","(2.5, 61.25]","(2.0, 197.0]","(256.625, 1633.0]"
The Dial,"(2.5, 61.25]","(256.625, 1633.0]","(2.0, 197.0]","(61.25, 31200.0]","(-0.001, 2.0]","(1633.0, 408000.0]"
