business_name,tiktok_like_range_month_m,tiktok_view_range_month_m,tiktok_comment_range_month_m,tiktok_like_range_month_m_1,tiktok_comment_range_month_m_1,tiktok_view_range_month_m_1
Park 54 Restaurant & Lounge,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
154 STATION Burgers and drinks,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
154 STATION Burgers and drinks,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
154 STATION Burgers and drinks,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
154 STATION Burgers and drinks,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
154 STATION Burgers and drinks,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Life Alive Organic Cafe,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Life Alive Organic Cafe,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Life Alive Organic Cafe,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Life Alive Organic Cafe,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Life Alive Organic Cafe,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
by Love Art,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
by Love Art,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
by Love Art,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
by Love Art,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(2.5, 61.25]","(2.0, 197.0]","(256.625, 1633.0]"
by Love Art,"(2.5, 61.25]","(256.625, 1633.0]","(2.0, 197.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Novara Restaurant | Milton MA,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(1633.0, 408000.0]"
Novara Restaurant | Milton MA,"(2.5, 61.25]","(1633.0, 408000.0]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Novara Restaurant | Milton MA,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Novara Restaurant | Milton MA,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Novara Restaurant | Milton MA,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(2.5, 61.25]","(2.0, 197.0]","(256.625, 1633.0]"
Abby Park | Milton Restaurant,"(2.5, 61.25]","(256.625, 1633.0]","(2.0, 197.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Abby Park | Milton Restaurant,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Abby Park | Milton Restaurant,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Abby Park | Milton Restaurant,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Abby Park | Milton Restaurant,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Dorchester Brewing Company,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Dorchester Brewing Company,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Dorchester Brewing Company,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Dorchester Brewing Company,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Dorchester Brewing Company,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
M & M BBQ,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
M & M BBQ,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
M & M BBQ,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
M & M BBQ,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
M & M BBQ,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Pazza on Porter,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Pazza on Porter,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Pazza on Porter,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Pazza on Porter,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(-0.001, 256.625]"
Pazza on Porter,"(2.5, 61.25]","(-0.001, 256.625]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Giulia,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Giulia,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Giulia,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Giulia,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Giulia,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
loveartpoke,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
loveartpoke,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
loveartpoke,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
loveartpoke,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
loveartpoke,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
CHILACATES,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
CHILACATES,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
CHILACATES,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(61.25, 31200.0]","(-0.001, 2.0]","(1633.0, 408000.0]"
CHILACATES,"(61.25, 31200.0]","(1633.0, 408000.0]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
CHILACATES,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Capo Restaurant,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(61.25, 31200.0]","(-0.001, 2.0]","(1633.0, 408000.0]"
Capo Restaurant,"(61.25, 31200.0]","(1633.0, 408000.0]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Capo Restaurant,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(61.25, 31200.0]","(-0.001, 2.0]","(1633.0, 408000.0]"
Capo Restaurant,"(61.25, 31200.0]","(1633.0, 408000.0]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Capo Restaurant,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Yakitori Totto Boston,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Yakitori Totto Boston,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Yakitori Totto Boston,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Yakitori Totto Boston,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Yakitori Totto Boston,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
SweetCheeksQ,"(-0.001, 2.5]","(256.625, 1633.0]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
SweetCheeksQ,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
SweetCheeksQ,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
SweetCheeksQ,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
SweetCheeksQ,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Ebi Sushi,"(2.5, 61.25]","(-0.001, 256.625]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Ebi Sushi,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Ebi Sushi,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Ebi Sushi,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Ebi Sushi,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
North Coast Seafoods,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
North Coast Seafoods,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
North Coast Seafoods,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
North Coast Seafoods,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
North Coast Seafoods,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Blackbird Doughnuts,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Blackbird Doughnuts,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(2.5, 61.25]","(2.0, 197.0]","(256.625, 1633.0]"
Blackbird Doughnuts,"(2.5, 61.25]","(256.625, 1633.0]","(2.0, 197.0]","(2.5, 61.25]","(-0.001, 2.0]","(1633.0, 408000.0]"
Blackbird Doughnuts,"(2.5, 61.25]","(1633.0, 408000.0]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Blackbird Doughnuts,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Laughing Monk Cafe l Omakase & Tasting Box Togo,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Laughing Monk Cafe l Omakase & Tasting Box Togo,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Laughing Monk Cafe l Omakase & Tasting Box Togo,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Laughing Monk Cafe l Omakase & Tasting Box Togo,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Laughing Monk Cafe l Omakase & Tasting Box Togo,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Banyan Bar + Refuge,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Banyan Bar + Refuge,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Banyan Bar + Refuge,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Banyan Bar + Refuge,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Banyan Bar + Refuge,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
April 23 Cafe,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(61.25, 31200.0]","(-0.001, 2.0]","(256.625, 1633.0]"
April 23 Cafe,"(61.25, 31200.0]","(256.625, 1633.0]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
April 23 Cafe,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(256.625, 1633.0]"
April 23 Cafe,"(61.25, 31200.0]","(256.625, 1633.0]","(2.0, 197.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
April 23 Cafe,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Umami Omakase,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Umami Omakase,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Umami Omakase,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Umami Omakase,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Umami Omakase,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Kavaneo Taverana,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Kavaneo Taverana,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Kavaneo Taverana,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Kavaneo Taverana,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(2.5, 61.25]","(2.0, 197.0]","(256.625, 1633.0]"
Kavaneo Taverana,"(2.5, 61.25]","(256.625, 1633.0]","(2.0, 197.0]","(2.5, 61.25]","(2.0, 197.0]","(256.625, 1633.0]"
Tiger Sugar,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Tiger Sugar,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Tiger Sugar,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Tiger Sugar,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(2.5, 61.25]","(2.0, 197.0]","(256.625, 1633.0]"
Tiger Sugar,"(2.5, 61.25]","(256.625, 1633.0]","(2.0, 197.0]","(2.5, 61.25]","(2.0, 197.0]","(256.625, 1633.0]"
Mooo Seaport,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Mooo Seaport,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
