business_name,insta_link,insta_followers,insta_ave_views_first5_biz_202309,insta_ave_likes_first5_biz_202309,insta_ave_comments_first5_biz_202309,insta_ave_views_first5_biz_202308,insta_ave_likes_first5_biz_202308,insta_ave_comments_first5_biz_202308,insta_ave_views_first5_biz_202307,insta_ave_likes_first5_biz_202307,insta_ave_comments_first5_biz_202307,insta_ave_views_first5_biz_202306,insta_ave_likes_first5_biz_202306,insta_ave_comments_first5_biz_202306,insta_ave_views_first5_biz_202305,insta_ave_likes_first5_biz_202305,insta_ave_comments_first5_biz_202305,insta_ave_views_first5_biz_202304,insta_ave_likes_first5_biz_202304,insta_ave_comments_first5_biz_202304,fb_link,fb_followers,fb_ave_views_first5_biz_202309,fb_ave_likes_first5_biz_202309,fb_ave_comments_first5_biz_202309,fb_ave_views_first5_biz_202308,fb_ave_likes_first5_biz_202308,fb_ave_comments_first5_biz_202308,fb_ave_views_first5_biz_202307,fb_ave_likes_first5_biz_202307,fb_ave_comments_first5_biz_202307,fb_ave_views_first5_biz_202306,fb_ave_likes_first5_biz_202306,fb_ave_comments_first5_biz_202306,fb_ave_views_first5_biz_202305,fb_ave_likes_first5_biz_202305,fb_ave_comments_first5_biz_202305,fb_ave_views_first5_biz_202304,fb_ave_likes_first5_biz_202304,fb_ave_comments_first5_biz_202304,,insta_name,tiktok_link,tiktok_followers,tiktok_likes,tiktok_ave_views_first5_biz_202309,tiktok_ave_likes_first5_biz_202309,tiktok_ave_comments_first5_biz_202309,tiktok_ave_views_first5_biz_202308,tiktok_ave_likes_first5_biz_202308,tiktok_ave_comments_first5_biz_202308,tiktok_ave_views_first5_biz_202307,tiktok_ave_likes_first5_biz_202307,tiktok_ave_comments_first5_biz_202307,tiktok_ave_views_first5_biz_202306,tiktok_ave_likes_first5_biz_202306,tiktok_ave_comments_first5_biz_202306,tiktok_ave_views_first5_biz_202305,tiktok_ave_likes_first5_biz_202305,tiktok_ave_comments_first5_biz_202305,tiktok_ave_views_first5_biz_202304,tiktok_ave_likes_first5_biz_202304,tiktok_ave_comments_first5_biz_202304,insta_name,tiktok_ave_views_first5_nonbiz_202309,tiktok_ave_likes_first5_nonbiz_202309,tiktok_ave_comments_first5_nonbiz_202309,tiktok_ave_views_first5_nonbiz_202308,tiktok_ave_likes_first5_nonbiz_202308,tiktok_ave_comments_first5_nonbiz_202308,tiktok_ave_views_first5_nonbiz_202307,tiktok_ave_likes_first5_nonbiz_202307,tiktok_ave_comments_first5_nonbiz_202307,tiktok_ave_views_first5_nonbiz_202306,tiktok_ave_likes_first5_nonbiz_202306,tiktok_ave_comments_first5_nonbiz_202306,tiktok_ave_views_first5_nonbiz_202305,tiktok_ave_likes_first5_nonbiz_202305,tiktok_ave_comments_first5_nonbiz_202305,tiktok_ave_views_first5_nonbiz_202304,tiktok_ave_likes_first5_nonbiz_202304,tiktok_ave_comments_first5_nonbiz_202304
Cafe Luna,https://www.instagram.com/cafelunacentralsq/,"3,160.0",na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,51.3,6.3,https://www.facebook.com/CafeLunaCentralSq/?ref=page_internal,"1,800.0",na,0.0,0.0,na,0.0,0.0,na,0.0,0.0,na,13.0,7.0,na,0.0,0.0,na,13.0,0.0,,cafelunacentralsq,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,cafelunacentralsq,"2,116.00",27.00,0.50,"86,735.67","5,015.67",38.00,"16,600.00",552.00,4.00,"1,821.67",35.50,3.00,"3,020.00",134.00,3.00,0.00,0.00,0.00
Moona,https://www.instagram.com/moonarestaurant/,"6,882.0",na,50.5,1.0,na,70.0,5.0,na,41.0,1.0,na,43.8,1.6,na,53.0,4.0,na,58.7,2.0,https://www.facebook.com/MoonaCambridge/?view_public_for=124987001267619,645.0,na,0.0,0.0,na,0.0,0.0,na,0.0,0.0,na,1.8,0.0,na,1.3,0.0,na,1.0,0.0,,moonarestaurant,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,moonarestaurant,0.00,0.00,0.00,"1,422.00",7.00,0.00,0.00,0.00,0.00,"18,484.00","1,112.00",10.00,968.00,40.00,5.00,"63,700.00","2,569.00",52.00
4 Corners Pizza,https://www.instagram.com/4cornerspizza/,"27,000.0","13,548.0",424.0,47.0,"23,624.5","1,096.5",23.0,"29,607.7","1,345.3",37.7,"23,750.0",975.0,28.5,"3,992.0",188.3,7.7,"40,541.7","1,078.0",108.7,https://www.facebook.com/4cornerspizza,"1,000.0",na,0.0,0.0,na,2.0,1.0,na,5.5,0.0,na,3.0,1.0,na,7.0,1.0,na,0.0,0.0,,4cornerspizza,https://www.tiktok.com/@4cornerspizza,"1,651.0","37,700.0","2,569.7",85.0,1.3,0.0,0.0,0.0,"27,800.0",551.0,7.0,"1,363.0",42.0,2.0,0.0,0.0,0.0,882.0,18.0,2.0,4cornerspizza,720.00,30.00,0.00,0.00,0.00,0.00,"13,350.00","1,453.00",24.50,"16,813.50",405.20,3.00,"25,633.50","4,121.00",22.00,"1,402.00",43.00,1.50
Hunters,https://www.instagram.com/huntersboston/,"21,000.0","12,321.0",256.0,4.6,"7,276.0",260.2,2.6,na,207.4,3.0,"11,000.0",218.6,21.8,"5,474.0",199.6,5.6,"10,906.0",280.8,5.8,https://www.facebook.com/huntersboston,217.0,na,0.0,0.0,na,0.0,0.0,na,1.0,0.0,na,0.0,0.0,na,0.0,0.0,na,0.0,0.0,,huntersboston,https://www.tiktok.com/@huntersboston,20.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,huntersboston,0.00,0.00,0.00,0.00,0.00,0.00,989.00,6.00,0.00,"2,212.00",129.50,1.00,566.00,31.00,1.00,378.80,12.00,0.40
Ruka Resto Bar,https://www.instagram.com/rukarestobar/,"12,000.0","4,897.0",157.4,1.4,"2,701.0",118.4,1.8,"3,869.0",113.2,1.2,"3,009.5",98.8,3.0,"4,362.5",107.0,1.6,"4,163.0",131.0,3.6,https://www.facebook.com/RUKARestobar/,924.0,na,2.0,0.0,na,2.5,0.0,na,3.0,0.0,na,2.1,0.0,na,1.9,0.0,na,1.1,0.0,,rukarestobar,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,rukarestobar,899.00,30.50,1.00,"3,628.00",174.00,1.00,798.50,18.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Committee,https://www.instagram.com/committeeboston/,"15,000.0","7,533.0",348.5,16.0,na,na,na,na,na,na,na,74.5,2.0,na,74.3,1.3,na,62.8,1.3,https://www.facebook.com/CommitteeBoston,"5,800.0",na,3.0,0.0,na,0.0,0.0,na,0.0,0.0,na,0.0,0.0,na,0.0,0.0,na,0.0,0.0,,committeeboston,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,committeeboston,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,428.00",65.00,2.33
Zuma,https://www.instagram.com/zumabostonofficial/,"16,000.0","3,680.0",119.0,5.0,"1,562.0",390.0,11.0,"2,068.0",178.0,5.5,"1,715.0",236.0,2.0,"2,789.0",105.3,1.0,"3,514.0",135.0,5.0,https://www.facebook.com/zumabostonofficial/,"1,500.0",na,0.0,0.0,na,0.0,0.0,na,0.0,0.0,na,5.0,0.0,na,1.0,0.0,na,4.0,0.0,,zumabostonofficial,https://www.tiktok.com/@zumarestaurantofficial?_t=8boBTDWz43e&_r=1,"26,600.0","611,900.0","5,736.5",109.3,0.5,"36,312.2","1,191.6",4.0,"8,120.0",134.4,1.0,"238,680.8","2,359.0",9.8,"74,474.8","2,023.2",20.8,0.0,0.0,0.0,zumabostonofficial,"3,189.00",126.20,1.80,"23,314.67","1,347.67",14.33,"3,610.20",231.00,2.60,"7,389.25",60.50,6.00,"12,850.00",374.50,2.00,"1,552.33",72.67,1.67
Orleans Bar & Restaurant,https://www.instagram.com/orleansdavissq/,"1,044.0",na,11.0,1.0,"1,493.0",21.8,1.4,na,15.6,2.8,na,12.0,0.8,na,18.6,1.8,na,13.2,1.4,https://www.facebook.com/OrleansDavisSquare,9.0,na,0.0,0.0,na,0.0,0.0,na,0.0,0.0,na,0.0,0.0,na,0.0,0.0,na,0.0,0.0,,orleansdavissq,https://www.tiktok.com/@orleansdavissq,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,orleansdavissq,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,464.00,11.00,0.00
Nagomi Kenmore,https://www.instagram.com/nagomikenmore/,"2,290.0",na,39.6,2.4,"22,000.0",150.8,3.0,na,64.0,3.4,"1,036.0",39.0,1.2,997.5,56.4,3.4,918.5,52.2,1.4,https://www.facebook.com/profile.php?id=100071442613653,80.0,na,0.8,0.0,na,0.6,0.0,na,0.4,0.0,na,1.4,0.0,na,0.0,0.0,na,0.4,0.0,,nagomikenmore,https://www.tiktok.com/@nagomikenmore,9.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nagomikenmore,0.00,0.00,0.00,283.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
The Lexington,https://www.instagram.com/thelexingtoncx/,"44,431.0",na,47.8,0.6,"2,963.0",45.5,1.0,"2,600.0",54.8,1.4,na,48.0,0.6,na,36.6,0.4,na,59.4,0.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,thelexingtoncx,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,thelexingtoncx,0.00,0.00,0.00,"2,735.50",96.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bistro du Midi Boston,https://www.instagram.com/bistrodumidi/,"5,869.0",na,92.0,2.8,na,63.4,1.4,"3,017.0",93.6,2.8,na,48.4,0.8,na,66.0,2.2,"2,028.0",69.0,1.4,https://www.facebook.com/Bistrodumidi/,"3,300.0",na,0.0,0.0,na,0.0,0.0,na,0.0,0.0,na,4.0,1.0,na,6.0,1.0,na,0.0,0.0,,bistrodumidi,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,bistrodumidi,0.00,0.00,0.00,0.00,0.00,0.00,362.00,10.00,0.00,591.50,0.00,0.00,"1,183.00",81.00,14.00,0.00,0.00,0.00
LoLa 42,https://www.instagram.com/lola42boston/,"8,504.0","1,434.0",63.6,2.2,na,50.2,1.2,"1,757.5",71.5,1.0,na,226.5,12.0,"1,611.0",97.0,4.0,na,na,na,https://www.facebook.com/lola42boston,"2,600.0",na,2.2,0.0,na,3.0,0.0,na,0.0,0.0,na,2.0,0.0,na,3.0,0.0,na,4.2,0.0,,lola42boston,https://www.tiktok.com/@lola42boston,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lola42boston,543.00,11.00,3.00,"1,052.50",32.00,2.50,0.00,0.00,0.00,644.00,20.50,0.50,"14,221.00",498.00,4.50,0.00,0.00,0.00
No. 9 Park,https://www.instagram.com/no9park/,"8,677.0",na,61.0,4.5,na,115.0,2.5,na,265.0,9.0,na,124.7,3.0,na,120.5,0.3,na,133.0,0.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,no9park,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,no9park,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,804.00,23.50,0.00,277.00,4.00,0.00
Stella Cheeses,https://www.instagram.com/stellacheeses/,"3,612.0",405.0,31.1,5.0,252.5,31.0,0.7,461.0,30.8,1.8,910.0,67.8,0.4,na,na,na,na,na,na,https://www.facebook.com/StellaCheeses/,"80,000.0",na,0.0,0.0,na,3.0,0.0,na,0.0,0.0,na,7.4,0.4,na,0.0,0.0,na,0.0,0.0,,stellacheeses,https://www.tiktok.com/@stellacheeses,23.0,287.0,950.0,89.5,0.0,460.5,9.5,0.0,643.0,19.8,0.3,161.0,5.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,stellacheeses,"11,745.00",975.25,9.50,"2,952.00",96.00,0.00,"2,234.00",65.00,3.00,"2,626.00",266.60,2.00,804.00,23.50,0.00,899.00,68.50,2.00
Bar Vlaha,https://www.instagram.com/barvlaha/,"7,004.0","31,000.0",172.6,3.6,"6,641.0",101.0,3.6,"4,456.0",166.3,1.7,"7,997.0",215.5,3.8,"5,398.0",204.4,5.2,"7,720.0",182.6,3.8,https://www.facebook.com/barvlaha,145.0,na,0.0,0.0,na,0.0,0.0,na,0.0,0.0,na,0.0,0.0,na,0.0,0.0,na,0.0,0.0,,barvlaha,https://www.tiktok.com/@bar_vlaha,9.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,15.0,0.0,"1,164.0",36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,barvlaha,"5,166.20",176.20,9.60,"5,402.25",240.75,3.50,"18,836.00",753.50,4.00,"1,175.00",36.00,0.00,"22,777.00","1,150.50",9.50,"9,288.50",311.50,0.00
Levain Bakery,https://www.instagram.com/levainbakery/,"502,000.0",na,"2,464.6",21.4,"46,000.0","2,835.0",31.4,"95,250.0","3,396.8",27.0,"53,000.0","1,785.0",32.4,"359,000.0","7,864.8",59.0,"52,000.0","2,907.8",34.6,https://www.facebook.com/LevainBakery/,"61,000.0",na,190.4,18.6,na,109.8,10.0,na,235.6,16.4,na,"4,610.6",110.2,na,141.4,12.0,na,148.0,18.8,,levainbakery,https://www.tiktok.com/@levainbakery,"9,241.0","83,100.0","10,655.8",557.0,5.0,"3,557.4",155.6,3.4,"3,930.8",161.6,3.0,"36,765.0","1,822.8",30.4,"3,944.6",143.4,3.8,"9,539.7",379.3,9.3,levainbakery,"5,008.00",69.50,1.00,"50,285.00","2,522.00",13.50,"51,000.75","3,080.75",34.50,"4,492.80",212.80,1.40,0.00,0.00,0.00,0.00,0.00,0.00
Hood Dairy,https://www.instagram.com/hphood/,"5,408.0",758.7,28.2,5.4,na,40.4,8.8,na,46.0,7.6,590.0,33.0,3.4,na,39.6,2.4,na,37.0,4.6,,,na,,,na,,,na,,,na,,,na,,,na,,,,hphood,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,hphood,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Crazy Good Kitchen,https://www.instagram.com/crazygoodkitchen_/,"47,000.0","13,000.0",182.5,2.5,na,377.0,10.8,"6,776.0",165.8,4.2,"5,522.0",102.8,13.4,"10,000.0",228.2,39.6,"16,000.0",311.0,73.6,https://www.facebook.com/crazygoodkitchen/,"4,300.0",na,2.6,0.0,na,2.6,0.2,na,2.4,0.4,na,3.0,0.4,na,2.8,0.0,na,4.0,0.6,,crazygoodkitchen_,https://www.tiktok.com/@crazygoodkitchen,"8,559.0","31,900.0",758.0,25.3,0.0,794.0,18.0,0.0,391.0,10.6,0.0,"2,640.8",69.7,0.0,"3,645.0",167.0,0.0,789.0,49.0,0.0,crazygoodkitchen_,"98,875.00","11,356.50",68.00,"1,020.00",61.00,10.00,"3,977.67",248.67,9.00,0.00,0.00,0.00,"21,151.33",836.33,7.33,"20,676.00",698.00,6.00
Grill 23 & Bar,https://www.instagram.com/grill23andbar/,"8,674.0",na,89.0,0.5,na,152.4,4.0,"2,112.0",120.4,2.2,na,199.6,3.6,na,164.2,5.6,na,123.8,2.3,https://www.facebook.com/grill23andbar/,"7,400.0",na,0.0,0.0,na,0.0,0.0,na,0.0,0.0,na,0.0,0.0,na,0.0,0.0,na,0.0,0.0,,grill23andbar,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,grill23andbar,"6,050.00",113.00,1.00,0.00,0.00,0.00,"1,118.50",27.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,634.00,23.00,1.00
Smith & Wollensky,https://www.instagram.com/smithwollensky/,"30,000.0","3,776.3",111.0,4.6,"8,297.0",126.8,3.0,"3,416.0",85.2,3.2,"1,883.0",90.2,2.8,"2,793.0",69.8,4.4,"5,778.0",159.3,6.5,https://www.facebook.com/smithandwollenskysteakhouse,"26,000.0",na,16.2,1.8,na,12.8,0.4,na,19.0,0.4,na,15.4,1.0,na,22.8,0.8,na,16.0,0.0,,smithwollensky,https://www.tiktok.com/@smithwollensky,40.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,smithwollensky,"3,146.60",81.80,6.20,0.00,0.00,0.00,510.00,22.00,1.00,"4,736.00",125.00,6.00,"13,900.00",304.00,6.00,0.00,0.00,0.00
LoLa Burger,https://www.instagram.com/thelolaburger/,"4,764.0","14,000.0",119.5,2.0,"1,664.0",56.3,1.8,"1,482.0",58.2,0.8,960.0,35.8,0.3,"3,078.0",213.0,70.5,"17,900.0",519.0,44.0,https://www.facebook.com/lolaburger,"2,600.0",na,3.0,0.0,na,1.3,0.0,na,4.6,0.0,na,1.4,0.0,na,2.8,0.3,na,0.0,0.0,,thelolaburger,https://www.tiktok.com/@lolaburger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,thelolaburger,"11,838.00",342.75,2.25,490.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"6,357.00",108.00,4.00,"17,505.00",622.75,3.50
Woods Hill Pier 4,https://www.instagram.com/woodshillpier4/,"13,000.0","4,615.0",175.4,2.0,"41,000.0",311.2,6.6,"10,825.7",321.4,10.4,"6,300.0",180.6,5.0,"3,711.0",125.6,2.8,na,178.8,4.3,https://www.facebook.com/woodshillpier4/,"1,700.0",na,0.0,0.0,na,12.0,0.0,na,8.0,1.0,na,2.0,0.0,na,9.0,0.0,na,12.5,0.3,,woodshillpier4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,woodshillpier4,"3,509.00",60.00,0.50,"78,400.00","3,368.00",38.00,"107,299.80","5,231.40",51.20,0.00,0.00,0.00,"9,113.00",193.00,0.00,"3,077.00",71.25,1.00
Petit Robert Bistro,https://www.instagram.com/petitrobertbistro/,"6,383.0",na,na,"1,225.5",na,na,"3,329.0","3,133.7",138.8,2.2,"4,102.0",67.0,0.5,na,na,na,"2,038.0",95.0,2.5,https://www.facebook.com/petit.r.bistro,"5,500.0",na,7.2,0.0,na,8.4,0.0,na,14.3,0.6,na,7.6,0.0,na,0.0,0.0,na,19.5,1.0,,petitrobertbistro,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,petitrobertbistro,0.00,0.00,0.00,"54,200.00","3,633.00",19.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,907.00",441.00,15.00,0.00,0.00,0.00
The Dial,https://www.instagram.com/thedialcentralsq/,"3,733.0","30,000.0",758.5,61.0,"5,785.5",601.3,63.3,"1,002.0",na,na,na,32.0,1.0,"1,131.0",na,na,"4,134.5",na,na,https://www.facebook.com/thedialcentralsq/,532.0,na,3.0,0.0,na,1.6,0.0,na,3.2,0.0,na,0.0,0.0,na,0.0,0.0,na,0.0,0.0,,thedialcentralsq,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,thedialcentralsq,"4,699.00",106.00,2.00,931.00,26.00,3.00,770.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,569.00,29.00,1.00
Blue Owl Central Square,https://www.instagram.com/blueowlcentralsq/,"3,728.0",na,na,na,"27,000.0",594.0,49.0,na,na,na,"2,056.0",70.7,1.0,"1,283.8",36.8,1.0,"1,402.3",39.6,1.8,https://www.facebook.com/blueowlcentralsq,296.0,na,0.0,0.0,na,0.0,0.0,na,0.0,0.0,na,0.0,0.0,na,0.0,0.0,na,0.0,0.0,,blueowlcentralsq,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,blueowlcentralsq,"4,699.00",106.00,2.00,807.00,22.00,0.00,0.00,0.00,0.00,"60,900.00","3,279.00",3.00,0.00,0.00,0.00,0.00,0.00,0.00
Yellow Door Taqueria,https://www.instagram.com/yellowdoortaco/,"22,000.0",na,194.8,3.6,"5,365.0",124.0,2.0,"8,599.0",220.6,16.6,na,179.8,4.3,"27,000.0",335.8,11.8,na,248.0,4.8,https://www.facebook.com/yellowdoortaco,"3,000.0",na,14.8,0.8,na,16.2,0.8,na,41.5,4.0,na,0.0,0.0,na,0.0,0.0,na,15.6,0.0,,yellowdoortaco,https://www.tiktok.com/@yellowdoortaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yellowdoortaco,"7,529.00",235.00,0.00,374.00,19.00,0.00,458.00,4.00,0.00,"17,695.33",851.67,2.33,526.00,17.00,4.00,"2,242.33",60.67,1.33
Bar 'Cino,https://www.instagram.com/bar.cino.gather/,"3,793.0",na,102.8,8.0,na,113.2,9.0,na,125.0,8.2,na,99.6,8.2,na,118.2,9.8,na,154.8,13.4,https://www.facebook.com/bar.cino.brookline/,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,bar.cino.gather,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,bar.cino.gather,0.00,0.00,0.00,"3,740.67",465.33,8.33,"10,700.00",50.00,2.00,446.00,24.00,0.00,0.00,0.00,0.00,"1,426.00",47.00,0.00
Tradesman Coffee Shop & Lounge,https://www.instagram.com/tradesmanboston/,"14,000.0",na,287.0,12.8,"3,323.0",371.5,14.3,na,724.0,34.3,"46,031.0",901.2,36.0,"14,964.8",533.0,51.8,"29,429.7",820.8,29.4,https://www.facebook.com/tradesmancoffeeshopandlounge,409.0,na,0.0,0.0,na,0.0,0.0,na,0.0,0.0,na,0.0,0.0,na,0.0,0.0,na,0.0,0.0,,tradesmanboston,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,tradesmanboston,621.00,43.00,0.50,368.00,25.00,0.00,0.00,0.00,0.00,"1,138.25",69.75,2.00,669.75,35.00,0.25,"4,514.00",156.00,17.00
